ID,Gender,Age ,Class,Maj. Opt.,Ethnicity,C1 - Pre,C2 - Pre,C3 - Pre,C4 - Pre,K1 - Pre,K2 - Pre,K3 - Pre,K4 - Pre,S1 - Pre,S2 - Pre,S3 - Pre,S4 - Pre,S5 - Pre,C1 - Post,C2 - Post,C3 - Post,C4 - Post,K1 - Post,K2 - Post,K3 - Post,K4 - Post,S1 - Post,S2 - Post,S3 - Post,S4 - Post,S5 - Post
01SE,1,1,4,3,4,3,3,2,3,2,2,2,3,2,2,2,2,2,4,3,4,3,3,4,4,4,4,2,3,3,4
03SA,2,2,4,2,4,3,5,4,5,999,3,2,4,3,3,3,4,4,1,2,1,1,3,3,2,1,2,3,3,1,2
05HE,1,1,4,3,6,4,4,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5
05PE,2,1,4,3,4,4,4,2,4,4,4,1,5,4,1,2,2,2,5,4,4,5,5,5,5,5,5,5,5,5,5
08TR,2,3,4,2,4,4,3,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
11DO,2,2,4,2,4,4,4,3,3,2,2,3,4,3,3,3,4,4,5,4,4,3,3,4,4,5,4,4,5,5,5
12LO,2,1,4,3,4,5,5,3,3,3,1,1,5,4,3,4,4,4,5,5,5,5,4,3,4,4,5,5,5,5,5
13CU,2,1,4,3,4,3,3,4,5,4,2,2,4,1,2,2,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4
13RO,2,4,4,3,4,1,2,1,4,2,1,1,3,1,1,1,2,2,4,5,4,5,4,4,4,5,5,5,4,5,4
16BO,2,1,4,2,4,3,4,3,5,4,3,4,5,3,4,3,4,5,4,4,4,5,5,5,4,5,3,3,4,4,4
172N,1,2,4,3,3,2,2,2,4,4,2,2,4,2,2,2,2,2,4,4,3,4,4,4,3,4,3,3,4,4,4
19OA,2,2,4,3,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
19RA,2,1,4,3,4,4,4,4,4,3,2,2,4,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,3
20LI,2,4,4,3,4,3,2,3,3,2,4,2,4,2,2,2,2,2,4,3,4,4,3,4,4,4,4,4,4,4,4
21ED,2,2,4,3,4,2,3,2,3,2,2,2,3,2,1,1,1,2,4,4,3,4,2,3,4,4,4,3,3,4,4
22CH,2,1,4,3,4,2,2,3,4,1,2,2,4,2,1,1,2,2,5,5,5,5,4,5,5,5,5,4,5,4,5
27MC,2,2,4,2,4,4,3,4,4,2,3,4,4,3,3,4,4,4,4,3,5,5,4,4,5,4,4,5,5,4,4
27WE,2,2,4,3,5,4,4,4,4,4,4,3,5,4,4,3,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5
28BR,2,2,4,3,7,3,2,2,4,2,1,2,4,2,2,2,2,2,5,3,4,4,3,4,4,5,4,4,4,4,4
29NO,2,1,4,3,4,4,3,4,4,3,4,4,5,3,4,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5
30NO,2,1,4,3,4,3,3,3,4,4,3,4,5,3,3,4,4,4,5,5,4,4,4,5,5,5,5,4,4,5,5
30OR,2,1,4,2,4,4,5,4,4,4,5,5,5,3,3,2,3,2,1,2,1,1,1,1,1,1,1,3,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
